sceneId,systemType,systemName,questionId,answer
7,system1,Baseline,8,yes
7,system1,Baseline,9,yes
7,system1,Baseline,10,yes
7,system1,Baseline,11,yes
7,system1,Baseline,12,yes
7,system1,Baseline,13,yes
7,system1,Baseline,14,no
7,system1,Baseline,15,yes
7,system1,Baseline,16,no
7,system1,Baseline,17,no
7,system1,Baseline,18,no
7,system1,Baseline,19,yes
8,system1,Baseline,1,yes
8,system1,Baseline,2,yes
8,system1,Baseline,3,no
8,system1,Baseline,4,yes
8,system1,Baseline,5,yes
8,system1,Baseline,6,yes
8,system1,Baseline,7,yes
8,system1,Baseline,8,no
8,system1,Baseline,9,yes
8,system1,Baseline,10,yes
8,system1,Baseline,11,yes
8,system1,Baseline,12,yes
8,system1,Baseline,13,no
8,system1,Baseline,14,yes
8,system1,Baseline,15,yes
8,system1,Baseline,16,no
8,system1,Baseline,17,yes
8,system1,Baseline,18,yes
8,system1,Baseline,19,yes
9,system1,Baseline,1,yes
9,system1,Baseline,2,yes
9,system1,Baseline,3,yes
9,system1,Baseline,4,no
9,system1,Baseline,5,yes
9,system1,Baseline,6,yes
9,system1,Baseline,7,yes
9,system1,Baseline,8,no
9,system1,Baseline,9,yes
9,system1,Baseline,10,yes
9,system1,Baseline,11,yes
9,system1,Baseline,12,yes
9,system1,Baseline,13,yes
9,system1,Baseline,14,no
9,system1,Baseline,15,yes
9,system1,Baseline,16,no
9,system1,Baseline,17,yes
9,system1,Baseline,18,yes
9,system1,Baseline,19,no
10,system1,Baseline,1,yes
10,system1,Baseline,2,yes
10,system1,Baseline,3,no
10,system1,Baseline,4,yes
10,system1,Baseline,5,yes
10,system1,Baseline,6,yes
10,system1,Baseline,7,yes
10,system1,Baseline,8,no
10,system1,Baseline,9,yes
10,system1,Baseline,10,yes
10,system1,Baseline,11,yes
10,system1,Baseline,12,yes
10,system1,Baseline,13,no
10,system1,Baseline,14,yes
10,system1,Baseline,15,yes
10,system1,Baseline,16,no
10,system1,Baseline,17,yes
10,system1,Baseline,18,yes
10,system1,Baseline,19,yes
11,system1,Baseline,1,yes
11,system1,Baseline,2,yes
11,system1,Baseline,3,yes
11,system1,Baseline,4,yes
11,system1,Baseline,5,no
11,system1,Baseline,6,yes
11,system1,Baseline,7,yes
11,system1,Baseline,8,no
11,system1,Baseline,9,yes
11,system1,Baseline,10,yes
11,system1,Baseline,11,yes
11,system1,Baseline,12,yes
11,system1,Baseline,13,yes
11,system1,Baseline,14,no
11,system1,Baseline,15,yes
11,system1,Baseline,16,no
11,system1,Baseline,17,yes
11,system1,Baseline,18,yes
11,system1,Baseline,19,no
12,system1,Baseline,1,yes
12,system1,Baseline,2,yes
12,system1,Baseline,3,yes
12,system1,Baseline,4,yes
12,system1,Baseline,5,yes
12,system1,Baseline,6,yes
12,system1,Baseline,7,yes
12,system1,Baseline,8,yes
12,system1,Baseline,9,yes
12,system1,Baseline,10,yes
12,system1,Baseline,11,yes
12,system1,Baseline,12,yes
12,system1,Baseline,13,yes
12,system1,Baseline,14,no
12,system1,Baseline,15,yes
12,system1,Baseline,16,yes
12,system1,Baseline,17,yes
12,system1,Baseline,18,yes
12,system1,Baseline,19,no
1,system2,Advanced,1,yes
1,system2,Advanced,2,yes
1,system2,Advanced,3,yes
1,system2,Advanced,4,yes
1,system2,Advanced,5,yes
1,system2,Advanced,6,no
1,system2,Advanced,7,yes
1,system2,Advanced,8,yes
1,system2,Advanced,9,yes
1,system2,Advanced,10,no
1,system2,Advanced,11,yes
1,system2,Advanced,12,yes
1,system2,Advanced,13,yes
1,system2,Advanced,14,yes
1,system2,Advanced,15,yes
1,system2,Advanced,16,yes
1,system2,Advanced,17,yes
1,system2,Advanced,18,yes
1,system2,Advanced,19,yes
2,system2,Advanced,1,no
2,system2,Advanced,2,no
2,system2,Advanced,3,yes
2,system2,Advanced,4,no
2,system2,Advanced,5,no
2,system2,Advanced,6,no
2,system2,Advanced,7,yes
2,system2,Advanced,8,yes
2,system2,Advanced,9,yes
2,system2,Advanced,10,no
2,system2,Advanced,11,yes
2,system2,Advanced,12,yes
2,system2,Advanced,13,no
2,system2,Advanced,14,yes
2,system2,Advanced,15,no
2,system2,Advanced,16,yes
2,system2,Advanced,17,yes
2,system2,Advanced,18,no
2,system2,Advanced,19,no
3,system2,Advanced,1,no
3,system2,Advanced,2,no
3,system2,Advanced,3,yes
3,system2,Advanced,4,yes
3,system2,Advanced,5,no
3,system2,Advanced,6,no
3,system2,Advanced,7,no
3,system2,Advanced,8,yes
3,system2,Advanced,9,yes
3,system2,Advanced,10,no
3,system2,Advanced,11,no
3,system2,Advanced,12,yes
3,system2,Advanced,13,no
3,system2,Advanced,14,no
3,system2,Advanced,15,no
3,system2,Advanced,16,yes
3,system2,Advanced,17,yes
3,system2,Advanced,18,no
3,system2,Advanced,19,no
4,system2,Advanced,1,yes
4,system2,Advanced,2,yes
4,system2,Advanced,3,yes
4,system2,Advanced,4,no
4,system2,Advanced,5,yes
4,system2,Advanced,6,no
4,system2,Advanced,7,yes
4,system2,Advanced,8,yes
4,system2,Advanced,9,yes
4,system2,Advanced,10,no
4,system2,Advanced,11,yes
4,system2,Advanced,12,yes
4,system2,Advanced,13,yes
4,system2,Advanced,14,yes
4,system2,Advanced,15,yes
4,system2,Advanced,16,yes
4,system2,Advanced,17,yes
4,system2,Advanced,18,no
4,system2,Advanced,19,yes
5,system2,Advanced,1,yes
5,system2,Advanced,2,yes
5,system2,Advanced,3,yes
5,system2,Advanced,4,yes
5,system2,Advanced,5,yes
5,system2,Advanced,6,no
5,system2,Advanced,7,yes
5,system2,Advanced,8,yes
5,system2,Advanced,9,yes
5,system2,Advanced,10,no
5,system2,Advanced,11,no
5,system2,Advanced,12,yes
5,system2,Advanced,13,yes
5,system2,Advanced,14,no
5,system2,Advanced,15,yes
5,system2,Advanced,16,yes
5,system2,Advanced,17,no
5,system2,Advanced,18,no
5,system2,Advanced,19,no
6,system2,Advanced,1,no
6,system2,Advanced,2,yes
6,system2,Advanced,3,yes
6,system2,Advanced,4,no
6,system2,Advanced,5,yes
6,system2,Advanced,6,no
6,system2,Advanced,7,yes
6,system2,Advanced,8,yes
6,system2,Advanced,9,yes
6,system2,Advanced,10,yes
6,system2,Advanced,11,yes
6,system2,Advanced,12,yes
6,system2,Advanced,13,yes
6,system2,Advanced,14,yes
6,system2,Advanced,15,yes
6,system2,Advanced,16,yes
6,system2,Advanced,17,yes
6,system2,Advanced,18,no
6,system2,Advanced,19,no
7,system2,Advanced,1,yes
7,system2,Advanced,2,yes
7,system2,Advanced,3,no
7,system2,Advanced,4,yes
7,system2,Advanced,5,yes
7,system2,Advanced,6,yes
7,system2,Advanced,7,yes
7,system2,Advanced,8,no
7,system2,Advanced,9,yes
7,system2,Advanced,10,yes
7,system2,Advanced,11,yes
7,system2,Advanced,12,yes
7,system2,Advanced,13,yes
7,system2,Advanced,14,yes
7,system2,Advanced,15,yes
7,system2,Advanced,16,yes
7,system2,Advanced,17,yes
7,system2,Advanced,18,yes
7,system2,Advanced,19,no
8,system2,Advanced,1,yes
8,system2,Advanced,2,yes
8,system2,Advanced,3,yes
8,system2,Advanced,4,yes
8,system2,Advanced,5,yes
8,system2,Advanced,6,yes
8,system2,Advanced,7,yes
8,system2,Advanced,8,yes
8,system2,Advanced,9,yes
8,system2,Advanced,10,yes
8,system2,Advanced,11,yes
8,system2,Advanced,12,yes
8,system2,Advanced,13,yes
8,system2,Advanced,14,yes
8,system2,Advanced,15,yes
8,system2,Advanced,16,no
8,system2,Advanced,17,no
8,system2,Advanced,18,yes
8,system2,Advanced,19,no
9,system2,Advanced,1,yes
9,system2,Advanced,2,yes
9,system2,Advanced,3,yes
9,system2,Advanced,4,no
9,system2,Advanced,5,no
9,system2,Advanced,6,yes
9,system2,Advanced,7,yes
9,system2,Advanced,8,yes
9,system2,Advanced,9,yes
9,system2,Advanced,10,yes
9,system2,Advanced,11,no
9,system2,Advanced,12,yes
9,system2,Advanced,13,yes
9,system2,Advanced,14,yes
9,system2,Advanced,15,yes
9,system2,Advanced,16,yes
9,system2,Advanced,17,yes
9,system2,Advanced,18,no
9,system2,Advanced,19,no
10,system2,Advanced,1,yes
10,system2,Advanced,2,yes
10,system2,Advanced,3,yes
10,system2,Advanced,4,yes
10,system2,Advanced,5,yes
10,system2,Advanced,6,yes
10,system2,Advanced,7,yes
10,system2,Advanced,8,yes
10,system2,Advanced,9,yes
10,system2,Advanced,10,yes
10,system2,Advanced,11,yes
10,system2,Advanced,12,yes
10,system2,Advanced,13,yes
10,system2,Advanced,14,yes
10,system2,Advanced,15,yes
10,system2,Advanced,16,no
10,system2,Advanced,17,no
10,system2,Advanced,18,no
10,system2,Advanced,19,yes
11,system2,Advanced,1,yes
11,system2,Advanced,2,yes
11,system2,Advanced,3,yes
11,system2,Advanced,4,yes
11,system2,Advanced,5,yes
11,system2,Advanced,6,yes
11,system2,Advanced,7,yes
11,system2,Advanced,8,no
11,system2,Advanced,9,yes
11,system2,Advanced,10,no
11,system2,Advanced,11,yes
11,system2,Advanced,12,yes
11,system2,Advanced,13,yes
11,system2,Advanced,14,yes
11,system2,Advanced,15,yes
11,system2,Advanced,16,yes
11,system2,Advanced,17,no
11,system2,Advanced,18,yes
11,system2,Advanced,19,no
12,system2,Advanced,1,yes
12,system2,Advanced,2,yes
12,system2,Advanced,3,yes
12,system2,Advanced,4,yes
12,system2,Advanced,5,yes
12,system2,Advanced,6,yes
12,system2,Advanced,7,yes
12,system2,Advanced,8,yes
12,system2,Advanced,9,yes
12,system2,Advanced,10,yes
12,system2,Advanced,11,yes
12,system2,Advanced,12,yes
12,system2,Advanced,13,yes
12,system2,Advanced,14,yes
12,system2,Advanced,15,yes
12,system2,Advanced,16,no
12,system2,Advanced,17,yes
12,system2,Advanced,18,yes
12,system2,Advanced,19,no
