system,target,region_captions,participant,rating
system2,target1,"['a grandpa with white hair wearing a black cap, a white shirt, a grey cardigan, and black long pants, and a pair of black shoes, watching a girl', 'a woman with dark brown, slightly tanned skin wearing a short-sleeved dress that has long small pink and light-blue flower patterns, holding hands with a male, and holding a wooden basket', 'a dark brown, slightly tanned male with short, curly dark brown hair wearing a short-sleeve blue shirt and beige shorts, holding a bunch of bottled water', 'a little girl wearing a hot-pink, no-sleeve t-shirt, a white mid-length skirt, and pink sandals, holding a yellow balloon in her left hand and a small brown teddy bear with black eyes in her right hand', 'a road with two black cars and a lot of trees with green leaves', 'a bunch of bottled water', 'a wooden basket', 'a yellow balloon', 'a small brown teddy bear with black eyes']",P1,6.0
system2,target1,"['a grandfather wearing a black beret, a white shirt, a gray cardigan, black pants, and black shoes, watching the right side', 'a mother wearing a flower-patterned white one-piece dress, holding a brown basket, wearing sandals, seeing the front', 'a father wearing a blue short-sleeved shirt and beige shorts, holding a black plate with many water bottles, and wearing sandals, seeing the front', 'a little girl wearing a sleeveless pink top and pink shoes while holding a yellow balloon and a white teddy bear, watching the front']",P10,5.0
system2,target1,"['an old man wearing a gray cardigan with 2 buttons on the shirt, black pants, and a beret, with short white hair, around 150 cm tall, looking at a 35-year-old woman and a man, and slightly overweight', 'a 35-year-old woman with medium-length wavy hair wearing a beret. She is chubby and around 165 cm tall, dressed in a short sleeve ankle-length dress with a pink and blue flower pattern', 'a 35-year-old male wearing a short-sleeved blue polo shirt, knee-length beige shorts, and black slippers, with curly short black hair without any hat', 'a 7-year-old girl with short hair wearing a neon pink sleeveless top, a white puffy skirt, and pink sneakers', 'a yellow balloon with a white string that the girl is holding in her left hand', 'a teddy bear that the girl is holding in her right hand', 'a tray full of disposable bottles of water that the man is holding in his left hand', 'a basket with a few items in it that the woman and the man are both holding']",P12,4.0
system2,target1,"['an old man wearing a beret, a gray shirt, and black pants, facing right', 'an adult man wearing a blue shirt and beige pants, holding a basket, and holding up a pan with one hand', 'an adult female wearing a floral dress and black pants, facing forward with black hair, holding hands with a man and holding a basket', 'a picnic basket', 'a pan', 'bottles of water on the pan', 'a female child wearing a pink shirt and a white skirt, holding a yellow balloon and a brown teddy bear', 'a yellow balloon', 'a brown teddy bear']",P2,4.0
system2,target1,"['an old guy wearing a black hat walking', 'a young adult woman wearing a dress facing front', 'a young adult man wearing a blue shirt and beige shorts facing front, wearing sandals, holding a basket and a tray', 'a girl wearing a pink shirt and white pants is holding a yellow balloon and a brown teddy bear', 'a parked black sedan car facing right', 'a basket', 'a set with a bottle of water, with the bottle on a tray', 'a bright yellow balloon with a smooth surface', 'a brown teddy bear', 'a tray']",P6,6.0
system2,target1,"['an old white man wearing a grey cardigan, a white shirt, black pants, and a black artist-style hat, holding nothing related to a woman while looking at a girl', 'a brown-haired woman in a flower-patterned dress holding a box', 'a young brown-haired man in a bright blue polo T-shirt and brown short pants holding a tray with a bunch of water bottles in one hand, wearing brown sandals, while holding a box', 'a black-haired girl in a bright pink tank top and a white skirt wearing pink shoes and holding a yellow balloon connected to a cute teddy bear', 'a brown picnic box', 'a street with a black tree', 'a black car, parked beside the street and viewed from the side', 'a lamp on the street']",P7,7.0
system2,target2,"['a man wearing a white shirt, wearing sunglasses, holding a map, wearing black shoes, brown pants, and a silver watch on his left wrist, with his hands in his pockets', 'a man wearing a green t-shirt, brown shorts, and black shoes, with a silver watch on his left wrist and his hands in his pockets', 'a woman with long brown hair wearing a shirt with flower patterns on it, wearing short blue pants, holding a cup of coffee in her left hand, dragging a silver trunk in her right hand, wearing slippers and a little fat', 'a short, average-height woman with black hair wearing a light blue one-piece dress and sandals, looking up while holding a black camera in her right hand, positioned up to her face, and dragging a beige straw hat in her left hand', 'a wide-brimmed hat with a black ribbon', 'a shiny silver suitcase with vertical grooves and a retractable handle']",P11,6.0
system2,target2,"['a man wearing a white short-sleeve shirt and beige pants, wearing sunglasses, and holding a paper map in his right hand', 'a woman in a sky-blue dress, taking a picture of the sky, wearing brown sandals, and holding a brown hat', 'a female with a flower pattern top and short jeans, holding a coffee cup in her left hand and a gray suitcase in her right hand', 'a man wearing a light green T-shirt, beige shorts, and black shoes, with his hands in his pockets']",P3,6.0
system2,target2,"['A young man is wearing a white shirt, beige pants, and black shoes, with black sunglasses on. He is holding a camera in his right hand while looking at a woman who is holding a camera. His left hand is in his pocket, and he is wearing a watch on his left wrist. The man looks at the woman. The man is holding a map.', 'A fatty woman in a flower-patterned dress, jean shorts, and sandals is holding luggage in her left hand while looking at another woman who is holding a camera. The woman looks at the woman. The woman is holding a cup.', 'A young man is wearing a green T-shirt, beige short pants, and black sneakers. He has a gray watch on his left wrist and is holding something in both hands. His hands are in his pocket. He interestingly watches the girl who holds a camera. The man looks at the woman.', 'A woman with long hair is wearing a bright blue one-piece dress and sandals. She is holding a camera in her right hand and taking a photo. The woman is holding a hat.', 'A hat is on the woman.', 'A map is present.', 'A coffee cup is on the woman.']",P4,5.0
system2,target2,"['a male person wearing a white shirt, beige pants, black shoes, and a silver clock, facing forward', 'a forward-facing female wearing a white, flower-covered shirt, blue shorts, black slippers, and carrying a silver carrier']",P5,7.0
system2,target2,"['a woman taking a picture with her camera, wearing a sky blue sleeveless one-piece and white slippers, holding a new object', 'a man wearing sunglasses and a white shirt, beige pants, black shoes, and a wristwatch is holding a paper map, looking at the woman', 'a man wearing sunglasses, a green t-shirt, beige short pants, and black shoes has his hands in the pockets of his pants and is wearing a wristwatch, looking at the woman', 'a woman is wearing sunglasses, a pink and sky blue flower-patterned blouse, jeans, and black slippers, holding a red coffee cup and luggage, looking at the woman', 'a street of a European city with yellow buildings, a palm tree in the corner, and some parasols']",P8,3.0
system2,target2,"['a man wearing a white short-sleeved shirt, brown pants, and black shoes, with a watch on his left hand and black sunglasses, holding a big map', 'a big map', 'a female with long hair wearing a white, short-sleeved, flowery patterned shirt, short jeans, and black sandals, holding a brown passport and carrying blue luggage', ""a man wearing a green short-sleeved t-shirt, brown short pants, and black shoes, putting his two hands in his pant's pockets, with no sunglasses"", 'blue luggage', 'a female wearing a sky blue sleeveless dress and brown sandals, taking a photo with a camera held in her left hands, with no sunglasses, while holding a big straw hat', 'a big straw hat']",P9,6.0
